T:Who was your first crush?
T:Who is the person in the room who you hate the most?
T:What was the most boring joke you've ever told?
T:What was the most embarrassing dream you've ever had?
T:What is your worst fear?
T:"When was the first time you ever called your teacher ""mom""?"
D:I dare you to make your funniest monkey face.
D:Peel a banana with your feet.
D:Taste a dirty sock.
D:Eat a spoonful of mustard
D:Lick the person's sock closest to you.
D:I dare you to ask your neighbor for a roll of toilet paper.
D:I dare you to ask someone to do your makeup blindfolded.
D;I dare you to do 10 dares made up by your friends.
D;I dare you to lick a players' shoe.
D;I dare you to prank call a random person with an accent.
D;I dare you to wet willy the person across from you.
D;I dare you to say bad comments to everyone you see pass by.
T;Who was your first crush?
T;Who is the person in the room who you hate the most?
T;What was the most boring joke you've ever told?
T;What was the most embarrassing dream you've ever had?
T;What is your worst fear?
T;"When was the first time you ever called your teacher ""mom""?"
T;If you were marooned on an island with just a single person, who would you like it to be?
T; If you woke up one day and notice, that you are invisible, then what will be the first thing that you would like to do?
T; What is the question that you do not want anyone to ask you in this game?
T; If you could have anything in the world, what would it be?
T; What is the strangest dream you've ever had?
T; What do you like the most about everyone in the room?
T; Have you ever lied to a teacher and what was it about?
T; Do you sneak snacks when your Mom isn't looking?
T; What's the dumbest thing you ever said or did, around a boy/girl you liked?
T; What is the worst gift you have ever received?
T;Have you ever lied in truth in truth or dare?
D;Dance like a crazy person on your favorite song.
D; Run around wearing socks on your hands, pants for a shirt and a shirt for pants, for 3 minutes.
D; Say the pledge of allegiance in your most hated teacher's voice.
D; Run down the street in your pajamas.
D; Have the person to the left of you do your makeup ... blindfolded.
D;" After everything you say add ""Whoa ... I'm good!"" for the next 15 minutes."
D; Ask a neighbor for a roll of toilet paper.
D; What is one annoying habit of each person in the room?
D; Stand in your front yard, wave and say 'Hi!' to everyone you see.
D; Moonwalk across the room.
D; Pretend that you are underwater for the next 10 minutes.
D; Act like a gorilla for one minute
D;Smell a dirty sock for ten seconds.
D;What would you do if you won $100,000,000,000,000?
D;Sing your favorite song in a funny voice.
D;Have the other kids wrap you in toilet paper.
D;Bite into a lemon slice.
D;Go outside and pour a cup of ice cold water over your head.
D;Hold an ice cube in your hand until it melts.
D;Eat a pudding cup without using your hands.
D;"Go outside and yell ""I believe in fairies"" loudly three times while clapping your hands as fast as you can."
D;"Sing the ""I'm a little tea pot song"". Do all the motions"
D;Eat a mouthful of crackers and then try and whistle.
D;Act out a favorite scene from a movie.
D;Spin around with your head on a bat 5 times and then jump rope.
D;Say the alphabet backwards as fast as you can.
D;Give every tree in the yard a big hug and tell each one that you love him/her.
D;For the next hour wear lampshade on your head for a hat.
D;Let the person standing closest to you do your make-up crazy. Keep it on for at least an hour.
D;Stick jelly between all your toes and leave it there for 20 minutes.
D;Go into the front yard and do the chicken dance for one minute –Don't forget to bark. 
T;If you had to be Crazy-Glued to any celebrity, who would it be and why? 
T;What's the strangest obsession you've ever had? 
T;What's the meanest thing you've ever done? 
T;What's the weirdest thing you've ever done
T;Who was the first person you kissed
T;Who is your crush right  now
D;I dare you to Put an ice cube in your pants pocket and keep it there until it completely melts.
D;Give a piggyback ride to or receive a piggyback ride from another player.
D;Lick the palm and back of hand for the player directly across from you
D;choose another player and repeat everything they say for the next 3 rounds.
D;Place some food on a plate on the floor do push-up over the plate and eat a bite every time you go down
D;Have another player write the name of their first love on your forehead.
T;What is the most embarrassing thing that happened to you?
T;What is one talent most people here don’t know you have?
T;Have you ever lied for Truth or Dare?
D;Eat a packet of catchup
D;Bite into a lemon slice
D;Eat a raw egg
D;Ask a neighbor for a roll of toilet paper. 
D;Stuff marshmallows in your mouth and sing “twinkle twinkle little star”
D;Eat a spoon full of mustard.
D;Stand on your head for 10 seconds.
D;Try to lick your elbow.
D;Do a crabwalk across the room.
D;Peel a banana using your feet.
D;Spin around 10 times and try to walk a straight line.
D;Keep a straight face as the other kids do their best to make you laugh for one minute.
D;Balance a spoon on your nose for 10 second.
D;Act like a gorilla and pretend to pick bugs out of your friend’s hair.
D;Smell a dirty sock for ten seconds.
D;Sing your favorite song in a funny voice.
D;Have the other kids wrap you in toilet paper.
D;Bite into a lemon slice.
D;Go outside and pour a cup of ice cold water over your head.
D;Hold an ice cube in your hand until it melts.
D;Use lipstick and write the word “funky monkey” across your face. Keep it there at least an hour.
D;Eat a pudding cup without using your hands.
D;Go outside and yell “I believe in fairies” loudly three times while clapping your hands as fast as you can.
D;Sing the “I’m a little tea pot song”. Do all the motions.
D;Eat a mouthful of crackers and then try and whistle.
D;Act out a favorite scene from a movie.
D;Spin around with your head on a bat 5 times and then jump rope.
D;Say the alphabet backwards as fast as you can.
D;Give every tree in the yard a big hug and tell each one that you love him.
D;For the next hour wear lampshade on your head for a hat.
D;Let the person standing closest to you do your make-up crazy. Keep it on for at least an hour.
D;Stick jelly between all your toes and leave it there for 20 minutes.
D;Draw a face on your stomach and make it go around and tell every person in the room to have a nice day.
D;Go into the front yard and do the chicken dance for one minute –Don’t forget to bawk.
T;If you were marooned on an island with just a single person, who would you like it to be?
T;If you woke up one day and notice, that you are invisible, then what will be the first thing that you would like to do?
T;What is the question that you do not want anyone to ask you in this game?
T;What was the nastiest joke you ever played on someone?
T;If you could have anything in the world, what would it be?
T;What is the strangest dream you've ever had? 
T;Have you ever lied to a teacher and what was it about?
T;Do you sneak snacks when your Mom isn't looking?
T;What's the dumbest thing you ever said or did, around a boy/girl you liked?
D;Run around wearing socks on your hands, pants for a shirt and a shirt for pants, for 3 minutes. 
D;"After everything you say add ""Whoa ... I'm good!"" for the next 15 minutes. "
D;Stand in your front yard, wave and say 'Hi!' to everyone you see.
D;Moonwalk across the room. 
D;Pretend that you are underwater for the next 10 minutes.
D;Act like a gorilla for one minute. 
